PartyID,PartyName,LicenseTypeID,LicenseType,SM1_Name,SM3_Name,City,Cases,TrueChannel,Verdict,Notes
D00461,ANUKIRAN WINES (DHAYRI),180001,FL II (Wine shop),SHASHANK,SURESH NAIR,PUNE,24.0,KW Beer,,
D02564,JAISWAL WINES,180001,FL II (Wine shop),SACHIN KAMBLE,SURESH NAIR,PUNE,23.0,KW Beer,,
D00131,MEDORI WINE (KESHAVNAGAR),180001,FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,  2,22.0,KW Beer,,
D07205,LIQUORLAND BEER SHOPEE (RAVET),180004,Beer Shopee,,SURESH NAIR,PUNE,22.0,KW Beer,,
D02268,K M WINES (C/O GUPTA WINES),180001,FL II (Wine shop),SACHIN KAMBLE,SURESH NAIR,PUNE,22.0,KW Beer,,
D01874,REGAL WINES (PIMPRI),180001,FL II (Wine shop),,SURESH NAIR,PUNE,21.0,KW Beer,,
D06718,SUBHASH LIQUORS PVT LTD(SOMATNE),180001,FL II (Wine shop),,SURESH NAIR,PUNE,21.0,KW Beer,,
D02553,KIRAN BEER SHOPEE ( TATHAWADE ),180004,Beer Shopee,CROSS SUPPLY,SURESH NAIR,PUNE,20.0,KW Beer,,
D00399,SONALI ENTERPRISES,180001,FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,  3,20.0,KW Beer,,
D01863,LUCKY WINES ( CHARHOLI ),180001,FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,PUNE,20.0,KW Beer,,
D00366,TRINITY WINES (S'NAR),180001,FL II (Wine shop),SHASHANK,SURESH NAIR,  2A,20.0,KW Beer,,
D01020,SAGAR WINES (WAGHOLI),180001,FL II (Wine shop),Z VIJAY BHAIKATTE,SURESH NAIR,,20.0,KW Beer,,
D06959,CELEBRATION REST & BAR (713),180002,FL III (Permit Room),CROSS SUPPLY,SURESH NAIR,PUNE,19.2308,Institution,,
D00530,POOJA WINES,180001,FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,PUNE,17.0,KW Beer,,
D00165,PRATAP WINES,180001,FL II (Wine shop),SHASHANK,SURESH NAIR,  5,17.0,KW Beer,,
D01870,VIJAY WINES.(PIMPRI),180001,FL II (Wine shop),,SURESH NAIR,PUNE,16.0,KW Beer,,
D01970,SHRAVI HOTEL,180002,FL III (Permit Room),Z SANJAY NAGPAL,SURESH NAIR,PUNE,15.3846,Institution,,
D07226,K.C.LAKHWANI,180004,Beer Shopee,,SURESH NAIR,,15.0,KW Beer,,
D07754,SURYA INS LTD (COURT YARD),180002,FL III (Permit Room),,SURESH NAIR,,15.0,Institution,,
