PartyID,PartyName,LicenseTypeID,LicenseType,Current_Salesmen,Cases_Last45Days,Cases_FY25_26,City,Pincode,Address,Verdict,Notes
D00177,RADHA WINES,180001,FL II (Wine shop),SM1=SACHIN KAMBLE Â· SM2=AJAY Â· SM3=OMKAR PAWAR,452.0,893.0,  6,,"S NO. 147/148, SHOP NO. BG 10,DESTINATION CENTRE,MAGARPATA CITY.",,
D07331,SAGAR BEER SHOPEE (KADAMWAK WASTI),180004,Beer Shopee,SM3=SURESH NAIR,444.0,1204.0,PUNE CITY,,"MILKAT NO 538, WARD NO 1 , OLD NEW 2 , GATE NO 921, KADAMWAK WASTI , TAL HAVELI , DIST PUNE ",,
D02506,AJIT WINES.( CHIKHALI ),180001,FL II (Wine shop),SM3=SURESH NAIR,358.0,428.0,PUNE,,"GAT.NO.1638,CHIKHALI,GOKUL BULDING, GALA NO.212",,
D00265,PRAKASH WINES (KALYANI NAGAR),180001,FL II (Wine shop),SM1=SACHIN KAMBLE Â· SM2=AJAY Â· SM3=SURESH NAIR,337.0,382.0,  2A,,"KALYANI NAGAR LANDMARK ,SHOP.NO.3 PUNE",,
D07197,LUCKY COUNTRY BAR (KADAM & KAUR),180006,CL III (OTHERS),SM3=SURESH NAIR,331.0,1151.0,PUNE,,PLOT NO 97 98 BU BHANDARI IND ESTATE SANSAWADI,,
D07433,PENGUIN BEER SHOPEE ( MULSHI),180004,Beer Shopee,SM3=SURESH NAIR,328.0,520.0,PUNE CITY,412115,"S NO 42+43/1/2 , PLOT NO 29, MILKAT NO 504, NAND , TAL MULSHI",,
D07230,A H BEER SHOPEE,180004,Beer Shopee,SM3=SURESH NAIR,311.0,311.0,PUNE,,MILKAT NO.2/709 GAT NO 1430 LOHEGAON RD PUNE,,
D00007,ALCHO DRINKS( MOSHI ),180001,FL II (Wine shop),SM1=CROSS SUPPLY Â· SM3=SURESH NAIR,300.0,849.0,  4,411 005,"SHOP NO.7 AND 8,SANT KANVARAM ,PLACEO,GAT NO.108,LAXMI CHOWK,MOSHI DEHU ROAD",,
D02545,KINGS BEER SHOPPE ( PIMPRI ),180004,Beer Shopee,SM1=CROSS SUPPLY Â· SM3=SURESH NAIR,270.0,310.0,PUNE,,"SHOP NO.11,SUKHWANI IMPERIAL C AJMERA COMPLEX, MORWADI, PIMPRI",,
D02376,TAJ WINES ( PIMPLE SAUDAGAR ),180001,FL II (Wine shop),SM1=CROSS SUPPLY Â· SM3=SURESH NAIR,268.0,308.0,PUNE,,"1012,DIVYA HIGHTS,PIMGLE SAUDAGAR,KALEWADI RD,RAHATNI,TAL-HAVELI,DIST-PUNE",,
D00142,NATIONAL WINES (CLOUD9),180001,FL II (Wine shop),SM1=SACHIN KAMBLE Â· SM2=AJAY Â· SM3=SURESH NAIR,262.75,3039.75,  2,411 001,SHOP NO 7 VISTAS CENTRE POINT MOHMMAD WADI PUNE,,
D07232,GOLDEN BEER AND WINE SHOP (WAGHOLI),180004,Beer Shopee,SM3=SURESH NAIR,256.0,1084.0,PUNE,,1343B STREET WORD OF JOY SHOP F 7 WAGHOLI,,
D00333,SHERKAR WINES.,180001,FL II (Wine shop),SM1=Z SANJAY NAGPAL Â· SM3=SURESH NAIR,239.0,239.0,,,"S.NO.267,H.NO.4-A NARAYANAGAON TAL JUNNAR DIST:- PUNE",,
D00971,NAKSHATRA RESTAURANT,180002,FL III (Permit Room),SM1=TULSIRAM Â· SM3=SURESH NAIR,230.77,486.65,  5,,"SR.NO.121/122, P.NO.104, RAMBAUG COLONY KOTHRUD,PUNE-29",,
D01875,EMPRESS WINES.,180001,FL II (Wine shop),SM1=CROSS SUPPLY Â· SM3=SURESH NAIR,222.0,317.0,PUNE,,"S.NO:-19/3,DANGE CHOWK, THERGAON, PUNE.",,
D06384,GOLD BEER SHOPEE (LOHEGAON),180004,Beer Shopee,SM3=SURESH NAIR,208.0,256.0,PUNE,,"SHOP NO 3,MILKAT 3774 3 296 31,LOHEGAON PUNE",,
D06718,SUBHASH LIQUORS PVT LTD(SOMATNE),180001,FL II (Wine shop),SM3=SURESH NAIR,206.0,206.0,PUNE,,"S.NO.755/B,OLD S.NO.306,SOMATNE TALEGAON GRAMIN,TALEGAON DABHADE,TAL-MAVAL",,
D07173,KUNAL WINE MART ( INDRANINAGAR ),180001,FL II (Wine shop),SM1=CROSS SUPPLY Â· SM3=SURESH NAIR,204.0,204.0,PUNE,,BHOSARI,,
D00956,KUNAL WINES(TALEGAON),180001,FL II (Wine shop),SM3=SURESH NAIR,200.0,200.0,PUNE,,"TALEGAON,DABHADE, TAL:-MAVAL, TALEGAON,",,
D00269,PUSHKAR WINES ( AKURDI ),180001,FL II (Wine shop),SM3=SURESH NAIR,189.0,211.0,PUNE,411 042,"ECTOR 26,SHOP NO.11-13,ABC JUNCTION,AKURDI,NEAR I.T.OFFICE,PRADHIKARAN NIGDI",,
D07716,YASHRAJ HOTEL,180002,FL III (Permit Room),SM3=SURESH NAIR,174.36,219.23,,,"SR NO.173/1/1/3,BHEKRAI ,NAGAR,PHURSUNGI,PUNE, Hadapsar, Pune,Maharashtra-411028",,
D01863,LUCKY WINES ( CHARHOLI ),180001,FL II (Wine shop),SM1=CROSS SUPPLY Â· SM3=SURESH NAIR,170.0,170.0,PUNE,,"SHOP NO 02 S.NO.153 ,HISSA NO.1 CHOVISAWADI TAL HAVELI DIST, PUNE",,
D07420,SHREYA BEER SHOPEE (JUNNAR),180004,Beer Shopee,SM3=SURESH NAIR,168.0,168.0,,,"SHUKRAVAR PETH, 6/1, JUNNAR TAL-JUNNAR DIST-PUNE",,
D00328,SHEETAL WINES,180001,FL II (Wine shop),SM1=SHASHANK Â· SM2=DEEPAK PATIL Â· SM3=SURESH NAIR,166.0,306.0,  8,,"5,AUNDH ROAD PUNE",,
D06248,DAVE JAISWAL & CO (SANASWADI),180001,FL II (Wine shop),SM1=Z VIJAY BHAIKATTE Â· SM3=SURESH NAIR,160.0,160.0,PUNE,,GAT.NO 1251.PLOT NO 1 SHOP 16.17 SANASWADI PUNE,,
D06871,WAGHADE WINES ( RAVET ),180001,FL II (Wine shop),SM3=SURESH NAIR,158.0,288.0,PUNE,,"MAUJE MUKAI ( KIVALE ),SR.78/1,5/1,5/3,SHO.NO.19 & 20 PIMPRI CHINCHWAD",,
D00530,POOJA WINES,180001,FL II (Wine shop),SM1=CROSS SUPPLY Â· SM3=SURESH NAIR,157.0,177.0,PUNE,,"SHOP NO.4,SHAVALE COMPLEX, CHINCHWAD GAON,",,
D01993,VIKRANT WINES ( KALEWADI ),180001,FL II (Wine shop),SM3=SURESH NAIR,156.0,290.0,PUNE,,"S.NO.67,S.S.NO.3912 ANAND PARK SHO.NO.6 G RAHATNI, KALEWADI",,
D00068,ELLORA WINES (BAVDHAN KHURD),180001,FL II (Wine shop),SM1=SHASHANK Â· SM2=DEEPAK PATIL,151.0,221.0,PUNE CITY,411 043,"CYBARIS BLDG, SHOP 1/2 NEXT TO WINDMILL SOCIETY BAVDHAN KHURD",,
