PartyID,PartyName,LicenseType,SM1_Name,SM3_Name,City,Cases,ShouldBe,Verdict,Notes
D07230,A H BEER SHOPEE,Beer Shopee,,SURESH NAIR,PUNE,15.0,KW Beer,,
D02545,KINGS BEER SHOPPE ( PIMPRI ),Beer Shopee,CROSS SUPPLY,SURESH NAIR,PUNE,15.0,KW Beer,,
D01861,RAHUL WINES(THERGAON),FL II (Wine shop),Z SANJAY NAGPAL,SURESH NAIR,PUNE,15.0,KW Beer,,
D00047,VEENIT WINES.(CHAJED & SONS) (KHED),FL II (Wine shop),Z SANJAY NAGPAL,SURESH NAIR,PUNE,15.0,KW Beer,,
D00462,KAVIRAJ WINES (AKURDI),FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,PUNE,14.0,KW Beer,,
D01991,RAJA WINES.( DAPODI ),FL II (Wine shop),,SURESH NAIR,PUNE,13.0,KW Beer,,
D07231,BARREL & CO(E N DADABHAI),FL III (Permit Room),CROSS SUPPLY,SURESH NAIR,PUNE CITY,13.0,Institution,,
D00078,GHULE WINES (BAVDHAN),FL II (Wine shop),SHASHANK,SURESH NAIR,  5A,13.0,KW Beer,,
D00269,PUSHKAR WINES ( AKURDI ),FL II (Wine shop),,SURESH NAIR,PUNE,13.0,KW Beer,,
D00304,SAMRAT WINES.(NAVI SANGAVI),FL II (Wine shop),Z VIJAY BHAIKATTE,SURESH NAIR,,11.0,KW Beer,,
D02699,RAJ WINES & WINE SHOPEE (WARJE) (SG),Beer Shopee,TULSIRAM,SURESH NAIR,PUNE,11.0,KW Beer,,
D01306,SADASHIV WINES,FL II (Wine shop),SACHIN KAMBLE,SURESH NAIR,  7,11.0,KW Beer,,
D07209,SHAM BEER SHOPPE (KALEWADI),Beer Shopee,,SURESH NAIR,,10.0,KW Beer,,
D01375,HIRA MOTI WINES (PIMPRI),FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,PUNE,10.0,KW Beer,,
D00616,SAFEWAY WINES (KHED),FL II (Wine shop),,SURESH NAIR,PUNE,10.0,KW Beer,,
D01951,AGARWAL WINES (PIMPRI),FL II (Wine shop),,SURESH NAIR,PUNE,10.0,KW Beer,,
D02544,SAKSHI BEER SHOPPE(PIMPRI),Beer Shopee,,SURESH NAIR,PUNE,10.0,KW Beer,,
D07236,VIJAY HARBANSLAL KATIYAL (MAUZE MAHLUNGE),CL III (OTHERS),,SURESH NAIR,PUNE,10.0,KW Beer,,
D07173,KUNAL WINE MART ( INDRANINAGAR ),FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,PUNE,10.0,KW Beer,,
D01989,ASHOKA WINES.(THERGAON),FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,PUNE,10.0,KW Beer,,
D01476,LUCKY LAXMI WINE (WARJE),FL II (Wine shop),SHASHANK,SURESH NAIR,  5,10.0,KW Beer,,
D02597,YASH KARAN BEER SHOPEE(TATHAWADE),Beer Shopee,,SURESH NAIR,PUNE,10.0,KW Beer,,
D06509,LOVERS BEER SHOPEE (WAGHOLI),Beer Shopee,,SURESH NAIR,PUNE,9.0,KW Beer,,
D00161,V R WINES (BANER RD),FL II (Wine shop),SHASHANK,SURESH NAIR,  8,8.0,KW Beer,,
D07250,ASHOKA BEER SHOPPE(CHINCHWAD),Beer Shopee,,SURESH NAIR,PUNE,8.0,KW Beer,,
D00013,G.S.P WINES.(AUNDH),FL II (Wine shop),SHASHANK,SURESH NAIR,  8,7.0,KW Beer,,
D00956,KUNAL WINES(TALEGAON),FL II (Wine shop),,SURESH NAIR,PUNE,7.0,KW Beer,,
D06141,PARTH BEER SHOPEE (UNDRI) (SG),Beer Shopee,,ABID,PUNE,7.0,KW Beer,,
